cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,
2004-06-01 00:00:00,295.744,26.807,288.149,288.271,282.984,291.250,99200.000,
2004-06-01 00:05:00,292.276,21.008,288.287,288.399,282.606,291.258,99200.000,
2004-06-01 00:10:00,291.722,19.818,288.512,288.617,282.743,291.267,99200.000,
2004-06-01 00:15:00,291.713,19.722,288.793,288.890,282.785,291.275,99200.000,
2004-06-01 00:20:00,291.940,20.125,289.121,289.212,282.891,291.283,99200.000,
2004-06-01 00:25:00,292.055,20.270,289.421,289.505,283.188,291.292,99200.000,
2004-06-01 00:30:00,292.094,20.240,289.685,289.762,283.594,291.300,99200.000,
2004-06-01 00:35:00,292.015,19.946,289.892,289.963,284.161,291.308,99200.000,
2004-06-01 00:40:00,291.982,19.756,290.085,290.150,284.674,291.317,99200.000,
2004-06-01 00:45:00,291.926,19.528,290.261,290.313,285.218,291.325,99200.000,
2004-06-01 00:50:00,291.936,19.451,290.440,290.486,285.736,291.333,99200.000,
2004-06-01 00:55:00,291.927,19.327,290.609,290.651,286.243,291.342,99200.000,
2004-06-01 01:00:00,291.960,18.905,290.730,290.768,286.628,291.350,99200.000,
2004-06-01 01:05:00,291.956,18.597,290.817,290.853,286.962,291.350,99200.000,
2004-06-01 01:10:00,291.976,18.455,290.893,290.927,287.302,291.350,99200.000,
2004-06-01 01:15:00,291.967,18.252,290.950,290.982,287.571,291.350,99200.000,
2004-06-01 01:20:00,291.980,18.086,291.002,291.032,287.840,291.350,99200.000,
2004-06-01 01:25:00,291.971,17.874,291.042,291.071,288.054,291.350,99200.000,
2004-06-01 01:30:00,291.979,17.710,291.080,291.107,288.269,291.350,99200.000,
2004-06-01 01:35:00,291.971,17.493,291.110,291.136,288.442,291.350,99200.000,
2004-06-01 01:40:00,291.976,17.301,291.139,291.163,288.615,291.350,99200.000,
2004-06-01 01:45:00,291.968,17.095,291.161,291.185,288.756,291.350,99200.000,
2004-06-01 01:50:00,291.972,16.909,291.184,291.207,288.897,291.350,99200.000,
2004-06-01 01:55:00,291.963,16.705,291.202,291.224,289.012,291.350,99200.000,
2004-06-01 02:00:00,291.965,16.344,291.218,291.239,289.122,291.350,99200.000,
2004-06-01 02:05:00,291.958,16.161,291.230,291.250,289.211,291.358,99208.333,
2004-06-01 02:10:00,291.961,15.968,291.242,291.261,289.302,291.367,99216.667,
2004-06-01 02:15:00,291.957,15.779,291.252,291.270,289.374,291.375,99225.000,
2004-06-01 02:20:00,291.960,15.596,291.262,291.279,289.447,291.383,99233.333,
2004-06-01 02:25:00,291.957,15.469,291.270,291.286,289.506,291.392,99241.667,
2004-06-01 02:30:00,291.960,15.319,291.278,291.294,289.566,291.400,99250.000,
2004-06-01 02:35:00,291.956,15.184,291.285,291.300,289.614,291.408,99258.333,
2004-06-01 02:40:00,291.959,15.065,291.292,291.307,289.663,291.417,99266.667,
2004-06-01 02:45:00,291.957,14.935,291.298,291.312,289.704,291.425,99275.000,
2004-06-01 02:50:00,291.814,14.526,291.260,291.273,289.720,291.433,99283.333,
2004-06-01 02:55:00,291.708,14.195,291.215,291.228,289.685,291.442,99291.667,
2004-06-01 03:00:00,291.724,14.460,291.203,291.215,289.564,291.450,99300.000,
2004-06-01 03:05:00,291.738,14.552,291.201,291.212,289.498,291.408,99308.333,
2004-06-01 03:10:00,291.722,14.448,291.195,291.206,289.470,291.367,99316.667,
2004-06-01 03:15:00,291.686,14.328,291.184,291.194,289.461,291.325,99325.000,
2004-06-01 03:20:00,291.635,14.161,291.165,291.176,289.437,291.283,99333.333,
2004-06-01 03:25:00,291.590,14.029,291.145,291.155,289.425,291.242,99341.667,
2004-06-01 03:30:00,291.545,13.902,291.124,291.134,289.407,291.200,99350.000,
2004-06-01 03:35:00,291.507,13.769,291.104,291.114,289.397,291.158,99358.333,
2004-06-01 03:40:00,291.466,13.640,291.083,291.092,289.386,291.117,99366.667,
2004-06-01 03:45:00,291.426,13.520,291.062,291.071,289.380,291.075,99375.000,
2004-06-01 03:50:00,291.384,13.389,291.040,291.048,289.373,291.033,99383.333,
2004-06-01 03:55:00,291.344,13.261,291.018,291.026,289.370,290.992,99391.667,
2004-06-01 04:00:00,291.302,14.327,290.989,290.996,289.351,290.950,99400.000,
2004-06-01 04:05:00,291.197,14.997,290.938,290.944,289.325,290.808,99400.000,
2004-06-01 04:10:00,291.059,14.781,290.867,290.873,289.318,290.667,99400.000,
2004-06-01 04:15:00,290.899,14.501,290.780,290.786,289.309,290.525,99400.000,
2004-06-01 04:20:00,290.741,14.370,290.831,290.926,289.533,290.383,99400.000,
2004-06-01 04:25:00,290.594,14.124,290.809,290.902,289.607,290.242,99400.000,
2004-06-01 04:30:00,290.446,13.898,290.796,290.907,289.717,290.100,99400.000,
2004-06-01 04:35:00,290.318,13.718,290.792,290.917,289.872,289.958,99400.000,
2004-06-01 04:40:00,290.037,13.393,290.746,290.882,289.905,289.817,99400.000,
2004-06-01 04:45:00,290.002,13.359,290.758,290.901,289.998,289.675,99400.000,
2004-06-01 04:50:00,289.832,13.173,290.749,290.897,290.052,289.533,99400.000,
2004-06-01 04:55:00,289.829,13.174,290.787,290.932,290.125,289.392,99400.000,
2004-06-01 05:00:00,289.609,14.172,290.762,290.897,290.119,289.250,99400.000,
2004-06-01 05:05:00,289.648,16.129,290.793,290.916,290.166,289.208,99408.333,
2004-06-01 05:10:00,289.485,16.190,290.780,290.889,290.164,289.167,99416.667,
2004-06-01 05:15:00,289.545,16.414,290.821,290.918,290.219,289.125,99425.000,
2004-06-01 05:20:00,289.386,16.227,290.812,290.893,290.211,289.083,99433.333,
2004-06-01 05:25:00,289.454,16.434,290.859,290.927,290.266,289.042,99441.667,
2004-06-01 05:30:00,289.293,16.230,290.873,290.930,290.280,289.000,99450.000,
2004-06-01 05:35:00,289.361,16.432,290.951,291.001,290.364,288.958,99458.333,
2004-06-01 05:40:00,289.206,16.243,290.978,291.016,290.381,288.917,99466.667,
2004-06-01 05:45:00,289.276,16.446,291.065,291.094,290.471,288.875,99475.000,
2004-06-01 05:50:00,289.123,16.270,291.095,291.111,290.493,288.833,99483.333,
2004-06-01 05:55:00,289.191,16.454,291.184,291.187,290.585,288.792,99491.667,
2004-06-01 06:00:00,289.042,16.656,291.232,291.221,290.623,288.750,99500.000,
2004-06-01 06:05:00,289.131,17.134,291.352,291.332,290.739,288.842,99508.333,
2004-06-01 06:10:00,289.027,17.046,291.429,291.395,290.818,288.933,99516.667,
2004-06-01 06:15:00,289.159,17.405,291.579,291.536,290.988,289.025,99525.000,
2004-06-01 06:20:00,289.078,17.355,291.678,291.621,291.092,289.117,99533.333,
2004-06-01 06:25:00,289.230,17.750,291.847,291.779,291.284,289.208,99541.667,
2004-06-01 06:30:00,289.145,17.849,292.066,292.055,291.625,289.300,99550.000,
2004-06-01 06:35:00,289.322,18.541,292.411,292.540,292.108,289.392,99558.333,
2004-06-01 06:40:00,289.274,18.802,292.714,292.931,292.536,289.483,99566.667,
2004-06-01 06:45:00,289.480,19.530,293.105,293.393,293.131,289.575,99575.000,
2004-06-01 06:50:00,289.440,19.762,293.441,293.772,293.665,289.667,99583.333,
2004-06-01 06:55:00,289.656,20.509,293.857,294.212,294.341,289.758,99591.667,
2004-06-01 07:00:00,289.624,39.027,294.244,294.660,294.929,289.850,99600.000,
2004-06-01 07:05:00,289.974,19.404,294.734,295.158,295.686,290.033,99600.000,
2004-06-01 07:10:00,290.057,19.826,295.168,295.562,296.314,290.217,99600.000,
2004-06-01 07:15:00,290.389,20.772,295.679,296.021,297.040,290.400,99600.000,
2004-06-01 07:20:00,290.502,21.280,296.142,296.399,297.696,290.583,99600.000,
2004-06-01 07:25:00,290.815,22.402,296.666,296.813,298.428,290.767,99600.000,
2004-06-01 07:30:00,290.930,22.996,296.974,296.992,299.026,290.950,99600.000,
2004-06-01 07:35:00,291.236,24.195,297.343,297.191,299.695,291.133,99600.000,
2004-06-01 07:40:00,291.338,24.832,297.717,297.349,300.311,291.317,99600.000,
2004-06-01 07:45:00,291.639,25.907,298.185,297.558,300.996,291.500,99600.000,
2004-06-01 07:50:00,291.742,26.622,298.708,297.728,301.628,291.683,99600.000,
2004-06-01 07:55:00,292.048,27.696,299.298,297.935,302.346,291.867,99600.000,
2004-06-01 08:00:00,292.157,26.941,299.852,298.052,303.023,292.050,99600.000,
2004-06-01 08:05:00,292.437,27.436,300.482,298.198,303.783,292.142,99600.000,
2004-06-01 08:10:00,292.428,27.882,301.153,298.303,304.552,292.233,99600.000,
2004-06-01 08:15:00,292.710,29.024,301.871,298.430,305.477,292.325,99600.000,
2004-06-01 08:20:00,292.760,29.576,302.550,298.482,306.340,292.417,99600.000,
2004-06-01 08:25:00,293.076,30.886,303.334,298.604,307.355,292.508,99600.000,
2004-06-01 08:30:00,293.125,31.404,304.023,298.702,308.022,292.600,99600.000,
2004-06-01 08:35:00,293.410,32.555,304.768,298.878,308.783,292.692,99600.000,
2004-06-01 08:40:00,293.438,33.021,305.435,298.989,309.462,292.783,99600.000,
2004-06-01 08:45:00,293.721,34.205,306.167,299.173,310.188,292.875,99600.000,
2004-06-01 08:50:00,293.750,34.751,306.864,299.411,310.834,292.967,99600.000,
2004-06-01 08:55:00,294.030,35.979,307.592,299.639,311.547,293.058,99600.000,
2004-06-01 09:00:00,294.056,36.965,308.300,299.830,312.211,293.150,99600.000,
2004-06-01 09:05:00,294.372,37.914,309.108,300.114,312.975,293.242,99600.000,
2004-06-01 09:10:00,294.565,38.732,309.905,300.384,313.501,293.333,99600.000,
2004-06-01 09:15:00,294.888,39.857,310.751,300.704,314.038,293.425,99600.000,
2004-06-01 09:20:00,294.999,40.334,311.541,300.969,314.463,293.517,99600.000,
2004-06-01 09:25:00,295.227,41.110,312.356,301.260,314.879,293.608,99600.000,
2004-06-01 09:30:00,295.304,41.319,313.053,301.476,315.140,293.700,99600.000,
2004-06-01 09:35:00,295.520,41.901,313.757,301.716,315.410,293.792,99600.000,
2004-06-01 09:40:00,295.584,42.044,314.396,301.906,315.608,293.883,99600.000,
2004-06-01 09:45:00,295.786,42.552,315.054,302.124,315.814,293.975,99600.000,
2004-06-01 09:50:00,295.834,42.575,315.653,302.298,315.951,294.067,99600.000,
2004-06-01 09:55:00,296.023,42.977,316.275,302.503,316.118,294.158,99600.000,
2004-06-01 10:00:00,296.064,43.088,316.720,302.595,316.196,294.250,99600.000,
2004-06-01 10:05:00,296.211,42.769,317.135,302.684,316.301,294.342,99600.000,
2004-06-01 10:10:00,296.111,42.407,317.430,302.677,316.534,294.433,99600.000,
2004-06-01 10:15:00,296.324,42.921,317.779,302.738,316.910,294.525,99600.000,
2004-06-01 10:20:00,296.356,42.931,318.059,302.752,317.211,294.617,99600.000,
2004-06-01 10:25:00,296.646,43.637,318.400,302.839,317.648,294.708,99600.000,
2004-06-01 10:30:00,296.664,43.632,318.655,302.888,317.957,294.800,99600.000,
2004-06-01 10:35:00,296.927,44.290,318.963,303.013,318.382,294.892,99600.000,
2004-06-01 10:40:00,296.939,44.318,319.180,303.074,318.715,294.983,99600.000,
2004-06-01 10:45:00,297.212,44.984,319.455,303.209,319.152,295.075,99600.000,
2004-06-01 10:50:00,297.232,45.019,319.640,303.277,319.490,295.167,99600.000,
2004-06-01 10:55:00,297.503,45.669,319.882,303.417,319.924,295.258,99600.000,
2004-06-01 11:00:00,297.518,45.398,320.150,303.546,320.279,295.350,99600.000,
2004-06-01 11:05:00,297.864,46.086,320.542,303.796,320.757,295.442,99600.000,
2004-06-01 11:10:00,298.071,46.771,320.917,304.038,320.969,295.533,99600.000,
2004-06-01 11:15:00,298.327,47.627,321.309,304.307,321.213,295.625,99600.000,
2004-06-01 11:20:00,298.470,48.230,321.660,304.549,321.336,295.717,99600.000,
2004-06-01 11:25:00,298.794,49.317,322.061,304.850,321.424,295.808,99600.000,
2004-06-01 11:30:00,298.889,49.698,322.185,305.033,321.091,295.900,99600.000,
2004-06-01 11:35:00,298.991,50.045,322.221,305.183,320.682,295.992,99600.000,
2004-06-01 11:40:00,298.989,50.191,322.313,305.219,320.247,296.083,99600.000,
2004-06-01 11:45:00,299.133,50.700,322.304,305.318,319.755,296.175,99600.000,
2004-06-01 11:50:00,299.092,50.784,322.187,305.366,319.173,296.267,99600.000,
2004-06-01 11:55:00,299.172,51.192,322.061,305.437,318.607,296.358,99600.000,
2004-06-01 12:00:00,299.169,51.068,321.707,305.399,317.999,296.450,99600.000,
2004-06-01 12:05:00,299.079,50.738,321.240,305.292,317.325,296.450,99600.000,
2004-06-01 12:10:00,298.797,50.141,320.643,305.086,316.595,296.450,99600.000,
2004-06-01 12:15:00,298.535,49.553,319.990,304.840,316.338,296.450,99600.000,
2004-06-01 12:20:00,298.456,49.399,319.366,304.633,316.154,296.450,99600.000,
2004-06-01 12:25:00,298.543,49.693,318.798,304.494,316.126,296.450,99600.000,
2004-06-01 12:30:00,298.635,50.188,318.556,304.451,316.369,296.450,99600.000,
2004-06-01 12:35:00,298.713,50.660,318.409,304.444,316.706,296.450,99600.000,
2004-06-01 12:40:00,298.674,50.880,318.271,304.415,316.982,296.450,99600.000,
2004-06-01 12:45:00,298.694,51.246,318.170,304.408,317.439,296.450,99600.000,
2004-06-01 12:50:00,298.781,51.756,318.108,304.436,317.902,296.450,99600.000,
2004-06-01 12:55:00,298.909,52.349,318.076,304.495,318.453,296.450,99600.000,
2004-06-01 13:00:00,298.870,52.448,318.161,304.597,318.921,296.450,99600.000,
2004-06-01 13:05:00,299.013,52.961,318.350,304.789,319.526,296.500,99600.000,
2004-06-01 13:10:00,299.425,54.343,318.680,305.120,319.694,296.550,99600.000,
2004-06-01 13:15:00,299.503,54.924,318.936,305.383,319.835,296.600,99600.000,
2004-06-01 13:20:00,299.637,55.671,319.201,305.662,319.996,296.650,99600.000,
2004-06-01 13:25:00,299.595,55.994,319.399,305.887,320.094,296.700,99600.000,
2004-06-01 13:30:00,299.773,56.724,319.564,306.097,320.160,296.750,99600.000,
2004-06-01 13:35:00,299.808,57.089,319.652,306.247,320.181,296.800,99600.000,
2004-06-01 13:40:00,299.992,57.838,319.756,306.424,320.207,296.850,99600.000,
2004-06-01 13:45:00,300.017,58.184,319.788,306.548,320.169,296.900,99600.000,
2004-06-01 13:50:00,300.177,58.812,319.833,306.698,320.151,296.950,99600.000,
2004-06-01 13:55:00,300.204,59.115,319.816,306.804,320.084,297.000,99600.000,
2004-06-01 14:00:00,300.358,60.469,319.662,306.846,320.014,297.050,99600.000,
2004-06-01 14:05:00,300.402,61.074,319.395,306.936,319.902,297.142,99600.000,
2004-06-01 14:10:00,300.453,61.363,319.091,306.923,319.991,297.233,99600.000,
2004-06-01 14:15:00,300.569,61.801,318.770,306.892,320.139,297.325,99600.000,
2004-06-01 14:20:00,300.730,62.347,318.435,306.859,320.290,297.417,99600.000,
2004-06-01 14:25:00,300.913,62.937,318.085,306.825,320.493,297.508,99600.000,
2004-06-01 14:30:00,301.056,63.323,317.653,306.802,320.522,297.600,99600.000,
2004-06-01 14:35:00,301.198,63.708,317.188,306.782,320.562,297.692,99600.000,
2004-06-01 14:40:00,301.305,64.013,316.688,306.750,320.588,297.783,99600.000,
2004-06-01 14:45:00,301.438,64.329,316.176,306.723,320.590,297.875,99600.000,
2004-06-01 14:50:00,301.529,64.551,315.638,306.681,320.576,297.967,99600.000,
2004-06-01 14:55:00,301.639,64.838,315.091,306.642,320.545,298.058,99600.000,
2004-06-01 15:00:00,301.698,68.057,314.590,306.631,320.504,298.150,99600.000,
2004-06-01 15:05:00,301.706,68.664,314.076,306.611,320.428,298.058,99600.000,
2004-06-01 15:10:00,301.657,68.714,313.534,306.570,320.276,297.967,99600.000,
2004-06-01 15:15:00,301.381,68.191,312.897,306.442,320.043,297.875,99600.000,
2004-06-01 15:20:00,301.226,67.952,312.261,306.323,319.834,297.783,99600.000,
2004-06-01 15:25:00,301.333,68.418,311.700,306.285,319.636,297.692,99600.000,
2004-06-01 15:30:00,301.361,68.629,311.112,306.231,319.333,297.600,99600.000,
2004-06-01 15:35:00,301.058,68.000,310.400,306.066,318.882,297.508,99600.000,
2004-06-01 15:40:00,300.907,67.726,309.689,305.909,318.496,297.417,99600.000,
2004-06-01 15:45:00,300.975,68.045,309.032,305.815,318.111,297.325,99600.000,
2004-06-01 15:50:00,300.847,67.829,308.317,305.675,317.635,297.233,99600.000,
2004-06-01 15:55:00,300.519,67.137,307.513,305.460,317.084,297.142,99600.000,
2004-06-01 16:00:00,300.430,138.012,306.916,305.461,316.618,297.050,99600.000,
2004-06-01 16:05:00,300.661,141.538,306.546,305.698,316.201,296.958,99600.000,
2004-06-01 16:10:00,300.444,141.448,306.132,305.898,315.643,296.867,99600.000,
2004-06-01 16:15:00,299.947,69.906,305.637,306.021,315.083,296.775,99600.000,
2004-06-01 16:20:00,299.272,68.681,305.060,306.064,314.526,296.683,99600.000,
2004-06-01 16:25:00,298.729,67.709,304.490,306.113,313.993,296.592,99600.000,
2004-06-01 16:30:00,298.111,66.596,303.902,306.138,313.456,296.500,99600.000,
2004-06-01 16:35:00,297.508,65.465,303.308,306.152,312.930,296.408,99600.000,
2004-06-01 16:40:00,297.279,65.295,302.826,306.275,312.477,296.317,99600.000,
2004-06-01 16:45:00,297.308,65.732,302.352,306.437,312.069,296.225,99600.000,
2004-06-01 16:50:00,297.314,66.128,301.995,306.693,311.615,296.133,99600.000,
2004-06-01 16:55:00,297.290,66.535,301.678,306.977,311.137,296.042,99600.000,
2004-06-01 17:00:00,297.235,70.152,301.403,307.347,310.622,295.950,99600.000,
2004-06-01 17:05:00,297.113,71.111,301.132,307.736,310.058,295.767,99600.000,
2004-06-01 17:10:00,296.976,71.573,300.864,308.138,309.486,295.583,99600.000,
2004-06-01 17:15:00,296.880,72.125,300.612,308.563,308.880,295.400,99600.000,
2004-06-01 17:20:00,296.848,72.940,300.387,309.017,308.293,295.217,99600.000,
